;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1218953;5182567;1392597;1819091;1150736;28557249;1591260;8947535;
2000;4552091;8891991;5528121;13423114;3071365;4843865;5959734;6156412;
3000;10933170;16379665;12918037;17694023;7110193;33091392;13690918;24928727;
4000;22933614;37728171;26138824;56091146;12007230;31617040;24891971;54883048;
5000;41481312;59711820;45110950;88432684;18642703;47547518;39651529;67567176;
6000;64785778;93096029;69537988;113140440;25657221;49306838;55132039;81959909;
7000;94301705;123239322;98947088;143482366;34096781;62592902;74717699;93090595;
8000;132020796;184480433;136652009;165549935;42913243;71370784;97626011;126755547;
9000;170837457;205057954;180942703;234984502;53822614;82030547;123606792;152481824;
