;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1537575;31254792;1528597;6616467;820329;1465899;1518871;3591693;
2000;4797865;5325656;6150875;35910288;3034832;9013948;5957168;8884746;
3000;12127847;24264606;14392648;44189475;6814520;23153107;13524073;26260595;
4000;24126480;27905806;27827143;56847642;11548509;16469020;24236024;53592236;
5000;44182351;87120137;47007979;68800631;18191191;43028469;38138278;66949543;
6000;69145166;105733064;72031796;100476236;25842807;55334047;54134105;70787564;
7000;97103721;125652500;107303760;151645634;39617381;74242811;78036674;119791924;
8000;154652066;285752408;148154483;250049809;49777162;151798382;101889964;208936426;
9000;175806214;218204552;186444676;239474571;53822765;82608334;122635496;154657126;
