;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1103028;1293830;1313222;1580611;722323;1034823;1480147;2124587;
2000;4525907;15549513;5154649;8359486;2811476;3189597;5976549;8629964;
3000;10484404;12449874;12823170;24855071;6367246;8620909;13803167;43263327;
4000;21788830;31196832;24875066;43995068;11606179;28657471;24106755;38205131;
5000;39682386;68859799;43479311;72698424;17370951;25054911;38475725;66898224;
6000;64541139;92216369;68972923;96964842;24766995;42537623;54420668;83254947;
7000;94035254;128682708;99295764;129580480;32740288;62417815;73799388;85857702;
8000;131721627;199263187;137459401;170888269;40201506;69372984;96394831;122918732;
9000;172698877;221080804;181426202;237073468;49519495;78481720;123124193;157742275;
