;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1226657;2506155;1462734;1718868;586745;944865;1470613;1761735;
2000;4834331;11189250;6239698;23680782;2699378;3541581;5925508;7153199;
3000;12664318;29261822;14439637;43967296;6222002;10002283;13579237;32584243;
4000;24773365;53901959;27176207;29470115;10901412;13013774;24420100;54578155;
5000;43522817;83512143;47275360;75827647;16915074;19488360;38945205;67186211;
6000;67886558;95951753;72984721;117449385;24004770;31919518;54950009;83447542;
7000;98190532;126740453;104095013;133675699;33305148;64093817;74697957;102396757;
8000;135456885;166879991;142348577;168846999;42153536;70802658;97472472;125075317;
9000;176762151;215162873;187229035;225334808;51883890;80477105;123543670;171441906;
