;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;650592;1295642;750735;1015503;11253;297647;1466665;1849278;
2000;2636926;6522886;2960764;3336308;33556;315156;6204542;12600810;
3000;5952405;8552081;7021092;35875270;77364;352589;13512752;21393787;
4000;10338702;12668430;12105170;19819214;159280;428057;24012335;30846659;
5000;16321596;18308638;19534649;48538871;250180;582616;37614950;48830481;
6000;24264430;53301834;26331244;27913655;301106;660500;54291218;83581575;
7000;32836320;56965373;36692092;51595040;375355;594691;74167039;96843488;
8000;44125260;71827821;48695929;72862040;495936;829548;97422705;126306358;
9000;53562622;82928923;61276382;89983108;575576;1288397;123575307;156271546;
