;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;131417;324213;162933;1567328;28466;306703;121178;408737;
2000;384043;632123;428582;891131;56534;91166;407529;592277;
3000;731771;1340923;796034;1166440;97408;134635;872215;1336697;
4000;1158289;1426655;1292073;6644843;153062;405115;1494238;2348577;
5000;1925471;11864842;1891975;10626556;205696;1007654;2348033;3510187;
6000;2322398;3118355;2432522;9373178;246998;295836;3309012;5287619;
7000;3041491;3692519;3092894;4318604;305230;922526;4800618;23133183;
8000;3828941;4162234;3872248;4297474;347329;638161;5806268;14727813;
9000;4795752;6557904;4779994;5575607;401836;1013691;7499073;11682511;
