;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1215132;7875884;1479398;12909325;774964;7356661;1663728;12818160;
2000;5715573;49999939;6226567;35467137;3044408;15461969;6574935;24056916;
3000;13037126;39085395;15749479;50459391;7759330;58044269;15053751;24728283;
4000;24281643;63563727;27003390;63974879;11247758;15208396;25088762;54084895;
5000;40975951;69747911;45105329;61194019;17902177;46853209;37944650;55299634;
6000;65996762;93086368;69330335;96705833;24812645;47102556;55756755;84282524;
7000;95623809;117143285;101923563;150173094;33462490;41040329;76175665;106240212;
8000;131038523;158934675;137445055;190508851;43360741;71133511;98423712;126741056;
9000;173954231;238335903;183096529;224699062;55539381;86791094;124948965;154064246;
