;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1123169;1479785;1308507;1547404;449447;934601;1472177;1843240;
2000;4951833;10671234;5633204;33172897;2258673;4598744;5966110;7368133;
3000;12064628;34694341;12616073;18803711;5475209;9022400;13492352;16530602;
4000;22877610;58081098;25586371;45541869;9597487;13731026;24687898;53643555;
5000;40322696;67099272;44397091;72000492;15013107;18126306;38107686;65544018;
6000;65006387;92408360;70394071;102540448;22491816;51177851;56560560;84900158;
7000;96378554;127486684;103381220;141345704;30161037;58544776;75713049;104109587;
8000;131732295;181046319;145699254;195294756;41945352;69997259;110948275;142950465;
9000;176673285;223591790;181075726;234110879;46953321;75572262;122707468;151168070;
