;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;655084;1039653;763625;1270285;11314;309118;1470040;1749660;
2000;2621718;5449423;2994731;12285051;29462;316968;6072466;9438986;
3000;6313331;35915722;6804449;28466084;68803;348362;13385199;14664419;
4000;10567425;16180428;12472321;42721162;133639;940638;24930780;53859093;
5000;16514765;23384342;19152616;31946686;204072;390021;37659881;47586158;
6000;24797956;54337865;27748801;50453354;329923;1063803;55654788;84641755;
7000;32515295;43338191;38217611;66974900;447394;810833;74594034;103598214;
8000;45868943;71903893;52405087;84659867;565505;1358432;105471375;130271167;
9000;55115152;82563656;62825126;83256758;623586;1189986;124357117;158245197;
