;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;134430;344136;154969;440132;25224;94789;121292;438925;
2000;380457;688875;423148;1097612;53371;58563;403586;673782;
3000;753706;3974469;789508;1647023;90888;140069;871557;1331263;
4000;1562793;33156597;1239795;1817883;140733;191388;1500227;2229639;
5000;1943293;16172580;1897384;11335357;195149;908036;2334081;3571769;
6000;2364238;3501131;2418472;3396683;246467;690687;3302341;3830173;
7000;3076225;3999826;3165664;5381200;297188;528882;4498201;7857772;
8000;3917468;5558702;3955704;5074497;354248;915885;5753549;7109729;
9000;5362610;34783695;4906443;10458715;385589;651444;7537839;13781740;
