;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1300743;17774322;1329004;1852297;746080;1790111;1740561;25761899;
2000;4427400;15695016;5938627;36422266;2895179;3584448;6066121;9205939;
3000;10936013;22608526;12914982;23633086;6433730;7700797;14112219;38403161;
4000;22592509;30832773;26386741;55107039;11228390;17377660;24137661;33641406;
5000;40702212;63636781;44182985;73775510;17377098;22365820;39170251;67827391;
6000;64223587;93256626;69568779;97713488;24728307;43677497;56628348;89132428;
7000;95361560;122062619;100819134;130219849;34198265;62870625;74482685;103551725;
8000;130698734;186990815;137919384;174358609;45049627;75440041;98953186;126409600;
9000;170491130;200672333;180126919;240095827;54776178;83454183;124976985;158265120;
