;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1168359;5871443;1300145;1604760;710658;1061388;1475963;2116134;
2000;4409142;5085968;5371992;12823593;3157369;32788310;5939135;6882116;
3000;11320105;40864035;12373041;14093274;6075660;7979125;13348280;15137154;
4000;22423828;52113055;24650617;33104070;10744607;21270623;23864604;32591489;
5000;44078361;80825468;47777503;114522418;16993929;33867207;39398559;49153486;
6000;64341450;96810282;68018072;96500560;22895529;41119420;54640571;83414939;
7000;94786919;122688704;100967094;129843110;29942776;59365268;74304700;102524751;
8000;130300485;164549526;138134173;166086063;38103176;66679667;97315866;125937469;
9000;172218928;216271353;181342559;222005745;46628191;72571034;122823786;161825418;
