;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;637146;1334282;715229;1110895;10450;53733;1487802;3321818;
2000;2524207;3088167;2940159;4048126;46760;321797;6002262;9573622;
3000;5797405;13832455;6740042;8666793;82930;346551;13543302;23561843;
4000;10680018;37750510;12200375;34339941;148419;418397;26128657;54689849;
5000;16860912;46052036;18732209;23953072;250410;937620;37844754;67026218;
6000;23647080;42331141;27476511;56758288;374450;1001616;54849032;83641948;
7000;32438843;50922465;36858388;55436684;443325;795739;74692221;102743308;
8000;42767209;73790603;48734962;78714163;521649;853698;98230307;141705538;
9000;53626831;76091484;63256401;105457755;617349;964789;123657374;150727334;
