;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;125839;356211;151311;381568;28575;201048;119300;403304;
2000;408483;2689694;421409;655066;58569;90562;408018;909243;
3000;712270;799966;801281;1539555;102057;151541;928659;7384433;
4000;1428834;24712586;1249672;2544191;145346;209501;1494353;2411971;
5000;1768931;8030444;1862669;7772039;204809;1181534;2287411;2442158;
6000;2372950;5110721;2415375;4217779;248375;442547;3315629;9222241;
7000;3056319;3352609;3085064;3482415;298396;405114;4407609;5245357;
8000;3917034;6312782;3895353;4866807;354641;1191193;5674301;5902838;
9000;5359139;34818713;4804609;5853331;392393;853699;7445212;8256849;
